,ID,DOI,complete,csv_post_title,crossref_API_out,title,DOI_API,title_API,title_match,DOI_match
389,1390,10.1080/21645515.2015.1009809,"Clutton G, Bridgeman A, Reyes-Sandoval A, Hanke T, Dorrell L. Transient IL-10 receptor blockade can enhance CD8 T cell responses to a simian adenovirus-vectored HIV-1 conserved region immunogen.   Mar 9;11(4):1030-5. doi: 10.1080/21645515.2015.1009809..",Transient IL-10 receptor blockade can enhance CD8 T cell responses to a simian adenovirus-vectored HIV-1 conserved region immunogen,"{'title': ['Transient IL-10 receptor blockade can enhance CD8+T cell responses to a simian adenovirus-vectored HIV-1 conserved region immunogen'], 'DOI': '10.1080/21645515.2015.1009809'}",['Transient IL-10 receptor blockade can enhance CD8+T cell responses to a simian adenovirus-vectored HIV-1 conserved region immunogen'],10.1080/21645515.2015.1009809,Transient IL-10 receptor blockade can enhance CD8+T cell responses to a simian adenovirus-vectored HIV-1 conserved region immunogen,False,True
390,744,10.1002/eji.201343646,"Clutton G, Yang H, Hancock G, Sande N, Holloway C, Angus B, von Delft A, Barnes E, Borrow P, Pellegrino P, Williams I, McMichael A, Dorrell L. Emergence of a distinct HIV-specific IL-10-producing CD8(+) T-cell subset with immunomodulatory functions during chronic HIV-1 infection.   Nov;43(11):2875-85. doi: 10.1002/eji.201343646.  Epub 2013 Aug 29..",Emergence of a distinct HIV-specific IL-10-producing CD8(+) T-cell subset with immunomodulatory functions during chronic HIV-1 infection,"{'title': ['Emergence of a distinct HIV-specific IL-10-producing CD8+T-cell subset with immunomodulatory functions during chronic HIV-1 infection'], 'DOI': '10.1002/eji.201343646'}",['Emergence of a distinct HIV-specific IL-10-producing CD8+T-cell subset with immunomodulatory functions during chronic HIV-1 infection'],10.1002/eji.201343646,Emergence of a distinct HIV-specific IL-10-producing CD8+T-cell subset with immunomodulatory functions during chronic HIV-1 infection,False,True
391,1014,10.2337/db13-1383,"Cnop M, Abdulkarim B, Bottu G, Cunha DA, Igoillo-Esteve M, Masini M, Turatsinze JV, Griebel T, Villate O, Santin I, Bugliani M, Ladriere L, Marselli L, McCarthy MI, Marchetti P, Sammeth M, Eizirik DL. RNA sequencing identifies dysregulation of the human pancreatic islet transcriptome by the saturated fatty acid palmitate.   Jun;63(6):1978-93. doi: 10.2337/db13-1383. Epub 2013 Dec 30.",RNA sequencing identifies dysregulation of the human pancreatic islet transcriptome by the saturated fatty acid palmitate,"{'title': ['RNA Sequencing Identifies Dysregulation of the Human Pancreatic Islet Transcriptome by the Saturated Fatty Acid Palmitate'], 'DOI': '10.2337/db13-1383'}",['RNA Sequencing Identifies Dysregulation of the Human Pancreatic Islet Transcriptome by the Saturated Fatty Acid Palmitate'],10.2337/db13-1383,RNA Sequencing Identifies Dysregulation of the Human Pancreatic Islet Transcriptome by the Saturated Fatty Acid Palmitate,True,True
392,399,,"Codd V, Nelson CP, Albrecht E, Mangino M, Deelen J, Buxton JL et al. Identification of seven loci affecting mean telomere length and their association with disease.   Apr;45(4):422-7.",Identification of seven loci affecting mean telomere length and their association with disease,"{'title': ['Identification of seven loci affecting mean telomere length and their association with disease'], 'DOI': '10.1038/ng.2528'}",['Identification of seven loci affecting mean telomere length and their association with disease'],10.1038/ng.2528,Identification of seven loci affecting mean telomere length and their association with disease,True,False
393,890,,"Codreanu I, Pegg TJ, Selvanayagam JB, Robson MD, Rider OJ, Dasanu CA et al. Normal values of regional and global myocardial wall motion in young and elderly individuals using navigator gated tissue phase mapping.   Feb;36(1):231-41.",Normal values of regional and global myocardial wall motion in young and elderly individuals using navigator gated tissue phase mapping,"{'title': ['Normal values of regional and global myocardial wall motion in young and elderly individuals using navigator gated tissue phase mapping'], 'DOI': '10.1007/s11357-013-9535-x'}",['Normal values of regional and global myocardial wall motion in young and elderly individuals using navigator gated tissue phase mapping'],10.1007/s11357-013-9535-x,Normal values of regional and global myocardial wall motion in young and elderly individuals using navigator gated tissue phase mapping,True,False
394,751,,"Codreanu I, Robson MD, Rider OJ, Pegg TJ, Dasanu CA, Jung BA et al. Effects of ventricular insertion sites on rotational motion of left ventricular segments studied by cardiac MR.   Nov;86(1031):20130326.",Effects of ventricular insertion sites on rotational motion of left ventricular segments studied by cardiac MR,"{'title': ['Effects of ventricular insertion sites on rotational motion of left ventricular segments studied by cardiac MR'], 'DOI': '10.1259/bjr.20130326'}",['Effects of ventricular insertion sites on rotational motion of left ventricular segments studied by cardiac MR'],10.1259/bjr.20130326,Effects of ventricular insertion sites on rotational motion of left ventricular segments studied by cardiac MR,True,False
395,983,10.1136/openhrt-2014-000043,"Coffey S, d'Arcy JL, Loudon MA, Mant D, Farmer AJ, Prendergast BD. The OxVALVE population cohort study (OxVALVE-PCS) - population screening for undiagnosed valvular heart disease in the elderly: study design and objectives.   May;1. doi:10.1136/openhrt-2014-000043 .",The OxVALVE population cohort study (OxVALVE-PCS) - population screening for undiagnosed valvular heart disease in the elderly: study design and objectives,"{'title': ['The OxVALVE population cohort study (OxVALVE-PCS)—population screening for undiagnosed valvular heart disease in the elderly: study design and objectives'], 'DOI': '10.1136/openhrt-2014-000043'}",['The OxVALVE population cohort study (OxVALVE-PCS)—population screening for undiagnosed valvular heart disease in the elderly: study design and objectives'],10.1136/openhrt-2014-000043,The OxVALVE population cohort study (OxVALVE-PCS)—population screening for undiagnosed valvular heart disease in the elderly: study design and objectives,False,True
396,966,,"Coffey S, Prendergast B. Medical therapies for treatment of valvular heart disease.   May;In Press.",Medical therapies for treatment of valvular heart disease,"{'title': ['Proceedings: Moving Toward Cell-Based Therapies for Heart Disease'], 'DOI': '10.5966/sctm.2015-0118'}",['Proceedings: Moving Toward Cell-Based Therapies for Heart Disease'],10.5966/sctm.2015-0118,Proceedings: Moving Toward Cell-Based Therapies for Heart Disease,False,False
397,1165,10.1111/ijcp.12485,"Coffey S, Rayner J, Newton J, Prendergast BD. Right-sided valve disease.   Oct;68(10):1221-6. doi: 10.1111/ijcp.12485. Epub 2014 Sep 2.",Right-sided valve disease,"{'title': ['Right-sided valve disease'], 'DOI': '10.1111/ijcp.12485'}",['Right-sided valve disease'],10.1111/ijcp.12485,Right-sided valve disease,True,True
398,1569,10.1161/JAHA.115.002150,"Coffey S, Williams MJ, Phillips LV, Jones GT. Circulating microRNA profiling needs further refinement before clinical use in patients with aortic stenosis.   Aug;24(4):8. doi: 10.1161/JAHA.115.002150.",Circulating microRNA profiling needs further refinement before clinical use in patients with aortic stenosis,"{'title': ['Circulating microRNA Profiling Needs Further Refinement Before Clinical Use in Patients With Aortic Stenosis'], 'DOI': '10.1161/jaha.115.002150'}",['Circulating microRNA Profiling Needs Further Refinement Before Clinical Use in Patients With Aortic Stenosis'],10.1161/jaha.115.002150,Circulating microRNA Profiling Needs Further Refinement Before Clinical Use in Patients With Aortic Stenosis,True,True
399,650,10.1007/s00296-012-2404-6,"Cohen CJ, Karaderi T, Pointon JJ, Wordsworth BP. A CCR6 variant strongly associated with rheumatoid arthritis in two populations is not associated with ankylosing spondylitis.   Sep;33(9):2443-4. doi: 10.1007/s00296-012-2404-6. Epub 2012 Apr 8.",A CCR6 variant strongly associated with rheumatoid arthritis in two populations is not associated with ankylosing spondylitis,"{'title': ['A CCR6 variant strongly associated with rheumatoid arthritis in two populations is not associated with ankylosing spondylitis'], 'DOI': '10.1007/s00296-012-2404-6'}",['A CCR6 variant strongly associated with rheumatoid arthritis in two populations is not associated with ankylosing spondylitis'],10.1007/s00296-012-2404-6,A CCR6 variant strongly associated with rheumatoid arthritis in two populations is not associated with ankylosing spondylitis,True,True
400,1564,10.1016/j.neuroimage.2015.03.071,"Colclough GL, Brookes MJ, Smith SM, Woolrich MW. A symmetric multivariate leakage correction for MEG connectomes.   Aug;117:439-48. doi: 10.1016/j.neuroimage.2015.03.071. Epub 2015 Apr 7..",A symmetric multivariate leakage correction for MEG connectomes,"{'title': ['A symmetric multivariate leakage correction for MEG connectomes'], 'DOI': '10.1016/j.neuroimage.2015.03.071'}",['A symmetric multivariate leakage correction for MEG connectomes'],10.1016/j.neuroimage.2015.03.071,A symmetric multivariate leakage correction for MEG connectomes,True,True
401,1344,10.1111/bjh.13333,"Collins GP, Eyre TA, Linton KM, Radford J, Vallance GD, Soilleux E, Hatton C. A phase II trial of AZD1152 in relapsed/refractory diffuse large B-cell lymphoma.   Feb. 10.1111/bjh.13333.",A phase II trial of AZD1152 in relapsed/refractory diffuse large B-cell lymphoma,"{'title': ['A phase II trial of AZD1152 in relapsed/refractory diffuse large B-cell lymphoma'], 'DOI': '10.1111/bjh.13333'}",['A phase II trial of AZD1152 in relapsed/refractory diffuse large B-cell lymphoma'],10.1111/bjh.13333,A phase II trial of AZD1152 in relapsed/refractory diffuse large B-cell lymphoma,True,True
402,691,10.1111/bjh.12582,"Collins GP, Parker AN, Pocock C, Kayani I, Sureda A, Illidge T et al. Guideline on the management of primary resistant and relapsed classical Hodgkin lymphoma.   Oct 1. doi: 10.1111/bjh.12582.",Guideline on the management of primary resistant and relapsed classical Hodgkin lymphoma,"{'title': ['Stratification of treatment intensity in relapsed pediatric Hodgkin lymphoma'], 'DOI': '10.1002/pbc.24851'}",['Stratification of treatment intensity in relapsed pediatric Hodgkin lymphoma'],10.1002/pbc.24851,Stratification of treatment intensity in relapsed pediatric Hodgkin lymphoma,False,False
403,2100,10.1007/s40140-016-0171-8,"Collins GS, Ma J, Gerry S, Ohuma E, Odondi L'O, Trivella M, Beyer, Vazquez-Montes MDLA. Risk Prediction Models in Perioperative Medicine: Methodological Considerations.   Sep;6(3):267-275. First Online: 05 July 2016, doi: 10.1007/s40140-016-0171-8.",Risk Prediction Models in Perioperative Medicine: Methodological Considerations,"{'title': ['Risk Prediction Models in Perioperative Medicine: Methodological Considerations'], 'DOI': '10.1007/s40140-016-0171-8'}",['Risk Prediction Models in Perioperative Medicine: Methodological Considerations'],10.1007/s40140-016-0171-8,Risk Prediction Models in Perioperative Medicine: Methodological Considerations,True,True
404,2051,10.2337/db15-1489,"Collins SC, Do HW, Hastoy B, Hugill A, Adam J, Chibalina MV et al. Increased Expression of the Diabetes Gene SOX4 Reduces Insulin Secretion by Impaired Fusion Pore Expansion.   Jul;65(7):1952-61. doi: 10.2337/db15-1489. Epub 2016 Mar 18.",Increased Expression of the Diabetes Gene SOX4 Reduces Insulin Secretion by Impaired Fusion Pore Expansion,"{'title': ['Increased Expression of the Diabetes GeneSOX4Reduces Insulin Secretion by Impaired Fusion Pore Expansion'], 'DOI': '10.2337/db15-1489'}",['Increased Expression of the Diabetes GeneSOX4Reduces Insulin Secretion by Impaired Fusion Pore Expansion'],10.2337/db15-1489,Increased Expression of the Diabetes GeneSOX4Reduces Insulin Secretion by Impaired Fusion Pore Expansion,False,True
405,754,10.1093/brain/awt249,"Conti V, Carabalona A, Pallesi-Pocachard E, Parrini E, Leventer RJ, Buhler E, McGillivray G, Michel FJ, Striano P, Mei D, Watrin F, Lise S, Pagnamenta AT, Taylor JC, Kini U, Clayton-Smith J, Novara F, Zuffardi O, Dobyns WB, Scheffer IE, Robertson SP, Berkovic SF, Represa A, Keays DA, Cardoso C, Guerrini R. Periventricular heterotopia in 6q terminal deletion syndrome: role of the C6orf70 gene.   Nov;136(11):3378-94. ePub ahead of print Sept 20 2013 doi:10.1093/brain/awt249.",Periventricular heterotopia in 6q terminal deletion syndrome: role of the C6orf70 gene,"{'title': ['Periventricular heterotopia in 6q terminal deletion syndrome: role of the C6orf70 gene'], 'DOI': '10.1093/brain/awt249'}",['Periventricular heterotopia in 6q terminal deletion syndrome: role of the C6orf70 gene'],10.1093/brain/awt249,Periventricular heterotopia in 6q terminal deletion syndrome: role of the C6orf70 gene,True,True
406,248,,"Cooper JD, Simmonds MJ, Walker NM, Burren O, Brand OJ, Guo H, Wallace C, Stevens H, Coleman G; Wellcome Trust Case Control Consortium, Franklyn JA, Todd JA, Gough SC. Seven newly identified loci for autoimmune thyroid disease.   Dec 1;21(23):5202-8.",Seven newly identified loci for autoimmune thyroid disease,"{'title': ['Seven newly identified loci for autoimmune thyroid disease'], 'DOI': '10.1093/hmg/dds357'}",['Seven newly identified loci for autoimmune thyroid disease'],10.1093/hmg/dds357,Seven newly identified loci for autoimmune thyroid disease,True,False
407,1818,10.1136/thoraxjnl-2014-206423,"Corcoran JP, Culver EL, Psallidas I, Hallifax RJ, Davies SJ, Bateman AC, Barnes E, Rahman NM.. A 63-year-old man with a recurrent right-sided pleural effusion.   May;70(5):504-7. doi: 10.1136/thoraxjnl-2014-206423. Epub 2015 Jan 8..",A 63-year-old man with a recurrent right-sided pleural effusion,"{'title': ['A 63-year-old man with a recurrent right-sided pleural effusion: Figure\xa01'], 'DOI': '10.1136/thoraxjnl-2014-206423'}",['A 63-year-old man with a recurrent right-sided pleural effusion: Figure\xa01'],10.1136/thoraxjnl-2014-206423,A 63-year-old man with a recurrent right-sided pleural effusion: Figure 1,False,True
408,1447,10.1093/ecco-jcc/jjv047,"Corte C, Fernandopulle N, Catuneanu AM, Burger D, Cesarini M, White L, Keshav S, Travis S.. Association between the ulcerative colitis endoscopic index of severity (UCEIS) and outcomes in acute severe ulcerative colitis.   May;9(5):376-81. doi: 10.1093/ecco-jcc/jjv047. Epub 2015 Mar 13.",Association between the ulcerative colitis endoscopic index of severity (UCEIS) and outcomes in acute severe ulcerative colitis,"{'title': ['Surgical outcomes in steroid refractory acute severe ulcerative colitis: the impact of rescue therapy'], 'DOI': '10.1111/j.1463-1318.2012.03188.x'}",['Surgical outcomes in steroid refractory acute severe ulcerative colitis: the impact of rescue therapy'],10.1111/j.1463-1318.2012.03188.x,Surgical outcomes in steroid refractory acute severe ulcerative colitis: the impact of rescue therapy,False,False
409,1483,10.1038/ncomms8146,"Cortes A, Pulit SL, Leo PJ, Pointon JJ, Robinson PC, Weisman MH, Ward M, Gensler LS, Zhou X, Garchon HJ, Chiocchia G, Nossent J, Lie BA, FÃ•Ã´rre Ã•Ã‰, Tuomilehto J, Laiho K, Bradbury LA, Elewaut D, Burgos-Vargas R, Stebbings S, Appleton L, Farrah C, Lau J3, Haroon N, Mulero J, Blanco FJ, Gonzalez-Gay MA, Lopez-Larrea C, Bowness P, Gaffney K, Gaston H, Gladman DD, Rahman P, Maksymowych WP, Crusius JB, van der Horst-Bruinsma IE, Valle-OÃ•Â±ate R, Romero-SÃ•Ânchez C, Hansen IM, Pimentel-Santos FM, Inman RD, Martin J, Breban M, Wordsworth BP, Reveille JD, Evans DM, de Bakker PI, Brown MA.. Major histocompatibility complex associations of ankylosing spondylitis are complex and involve further epistasis with ERAP1.   May 21;6:7146. doi: 10.1038/ncomms8146..",Major histocompatibility complex associations of ankylosing spondylitis are complex and involve further epistasis with ERAP1,"{'title': ['Major histocompatibility complex associations of ankylosing spondylitis are complex and involve further epistasis with ERAP1'], 'DOI': '10.1038/ncomms8146'}",['Major histocompatibility complex associations of ankylosing spondylitis are complex and involve further epistasis with ERAP1'],10.1038/ncomms8146,Major histocompatibility complex associations of ankylosing spondylitis are complex and involve further epistasis with ERAP1,True,True
410,957,10.1136/annrheumdis-2013-204835,"Cortes A1, Maksymowych WP, Wordsworth BP, Inman RD, Danoy P, Rahman P, Stone MA, Corr M, Gensler LS, Gladman D, Morgan A, Marzo-Ortega H, Ward MM; SPARCC (Spondyloarthritis Research Consortium of Canada), TASC (Australo-Anglo-American Spondyloarthritis Consortium), Learch TJ, Reveille JD, Brown MA, Weisman MH.. Association study of genes related to bone formation and resorption and the extent of radiographic change in ankylosing spondylitis.   Apr 10. doi: 10.1136/annrheumdis-2013-204835. [Epub ahead of print].",Association study of genes related to bone formation and resorption and the extent of radiographic change in ankylosing spondylitis,"{'title': ['Association study of genes related to bone formation and resorption and the extent of radiographic change in ankylosing spondylitis'], 'DOI': '10.1136/annrheumdis-2013-204835'}",['Association study of genes related to bone formation and resorption and the extent of radiographic change in ankylosing spondylitis'],10.1136/annrheumdis-2013-204835,Association study of genes related to bone formation and resorption and the extent of radiographic change in ankylosing spondylitis,True,True
411,329,10.1182/blood-2012-06-436436,"Cosgrove C, Ussher JE, Rauch A, GÃ•_rtner K, Kurioka A, HÃ•_hn MH, Adelmann K, Kang YH, Fergusson JR, Simmonds P, Goulder P, Hansen TH, Fox J, GÃ•_nthard HF, Khanna N, Powrie F, Steel A, Gazzard B, Phillips RE, Frater J, Uhlig H, Klenerman P.. Early and nonreversible decrease of CD161++ /MAIT cells in HIV infection.   Feb;121(6):951-61. doi: 10.1182/blood-2012-06-436436. Epub 2012 Dec 18.",Early and nonreversible decrease of CD161++ /MAIT cells in HIV infection,"{'title': ['Early and nonreversible decrease of CD161++/MAIT cells in HIV infection'], 'DOI': '10.1182/blood-2012-06-436436'}",['Early and nonreversible decrease of CD161++/MAIT cells in HIV infection'],10.1182/blood-2012-06-436436,Early and nonreversible decrease of CD161++/MAIT cells in HIV infection,False,True
412,1332,10.1016/j.ejca.2014.11.018,"Coupe N, Corrie P, Hategan M, Larkin J, Gore M, Gupta A et al. PACMEL: A phase 1 dose escalation trial of trametinib (GSK1120212) in combination with paclitaxel.   Feb. doi: 10.1016/j.ejca.2014.11.018. Epub 2014 Dec 24..",PACMEL: A phase 1 dose escalation trial of trametinib (GSK1120212) in combination with paclitaxel,"{'title': ['PACMEL: A phase 1 dose escalation trial of trametinib (GSK1120212) in combination with paclitaxel'], 'DOI': '10.1016/j.ejca.2014.11.018'}",['PACMEL: A phase 1 dose escalation trial of trametinib (GSK1120212) in combination with paclitaxel'],10.1016/j.ejca.2014.11.018,PACMEL: A phase 1 dose escalation trial of trametinib (GSK1120212) in combination with paclitaxel,True,True
413,1045,10.1073/pnas.1321072111,"Cousijn H, Haegens S, Wallis G, Near J, Stokes MG, Harrison PJ, Nobre AC. Resting GABA and glutamate concentrations do not predict visual gamma frequency or amplitude.   Jun 24;111(25):9301-6. doi: 10.1073/pnas.1321072111. Epub 2014 Jun 9.",Resting GABA and glutamate concentrations do not predict visual gamma frequency or amplitude,"{'title': ['Resting GABA and glutamate concentrations do not predict visual gamma frequency or amplitude'], 'DOI': '10.1073/pnas.1321072111'}",['Resting GABA and glutamate concentrations do not predict visual gamma frequency or amplitude'],10.1073/pnas.1321072111,Resting GABA and glutamate concentrations do not predict visual gamma frequency or amplitude,True,True
414,1508,10.1002/hbm.22778,"Cousijn H, Tunbridge EM, Rolinski M, Wallis G, Colclough GL, Woolrich MW, Nobre AC, Harrison PJ. Modulation of hippocampal theta and hippocampal-prefrontal cortex function by a schizophrenia risk gene.   Jun;36(6):2387-95. doi: 10.1002/hbm.22778. Epub 2015 Mar 10.",Modulation of hippocampal theta and hippocampal-prefrontal cortex function by a schizophrenia risk gene,"{'title': ['Modulation of hippocampal theta and hippocampal-prefrontal cortex function by a schizophrenia risk gene'], 'DOI': '10.1002/hbm.22778'}",['Modulation of hippocampal theta and hippocampal-prefrontal cortex function by a schizophrenia risk gene'],10.1002/hbm.22778,Modulation of hippocampal theta and hippocampal-prefrontal cortex function by a schizophrenia risk gene,True,True
415,568,,"Cousminer DL, Berry DJ, Timpson NJ, Ang W, Thiering E, Byrne EM et al. Genome-wide association and longitudinal analyses reveal genetic loci linking pubertal height growth, pubertal timing and childhood adiposity.   Jul;22(13):2735-47.","Genome-wide association and longitudinal analyses reveal genetic loci linking pubertal height growth, pubertal timing and childhood adiposity","{'title': ['Genome-wide association and longitudinal analyses reveal genetic loci linking pubertal height growth, pubertal timing and childhood adiposity'], 'DOI': '10.1093/hmg/ddt104'}","['Genome-wide association and longitudinal analyses reveal genetic loci linking pubertal height growth, pubertal timing and childhood adiposity']",10.1093/hmg/ddt104,"Genome-wide association and longitudinal analyses reveal genetic loci linking pubertal height growth, pubertal timing and childhood adiposity",True,False
416,293,,"Cousminer DL, Berry DJ, Timpson NJ, Ang W, Thiering E, Byrne EM et al. Large-scale association analysis identifies new risk loci for coronary artery disease.   Jan;45(1):25-33.",Large-scale association analysis identifies new risk loci for coronary artery disease,"{'title': ['Large-scale association analysis identifies new risk loci for coronary artery disease'], 'DOI': '10.1038/ng.2480'}",['Large-scale association analysis identifies new risk loci for coronary artery disease'],10.1038/ng.2480,Large-scale association analysis identifies new risk loci for coronary artery disease,True,False
417,1110,10.1093/hmg/ddu150,"Cousminer DL, Stergiakouli E, Berry DJ, Ang W, Groen-Blokhuis MM, KÃ•_rner A, Siitonen N, Ntalla I, Marinelli M, Perry JR, Kettunen J, Jansen R, Surakka I, Timpson NJ, Ring S, Mcmahon G, Power C, Wang C, KÃ•_hÃ•_nen M, Viikari J, LehtimÃ•_ki T, Middeldorp CM, Hulshoff Pol HE, Neef M, Weise S, Pahkala K, Niinikoski H, Zeggini E, Panoutsopoulou K, Bustamante M, Penninx BW, ReproGen Consortium, Murabito J, Torrent M, Dedoussis GV, Kiess W, Boomsma DI, Pennell CE, Raitakari OT, HyppÃ•_nen E, Davey Smith G, Ripatti S, McCarthy MI, WidÅ½n E, Early Growth Genetics Consortium. Genome-wide association study of sexual maturation in males and females highlights a role for body mass and menarche loci in male puberty.   Aug 15;23(16):4452-64. doi: 10.1093/hmg/ddu150. Epub 2014 Apr 25. .",Genome-wide association study of sexual maturation in males and females highlights a role for body mass and menarche loci in male puberty,"{'title': ['Genome-wide association study of sexual maturation in males and females highlights a role for body mass and menarche loci in male puberty'], 'DOI': '10.1093/hmg/ddu150'}",['Genome-wide association study of sexual maturation in males and females highlights a role for body mass and menarche loci in male puberty'],10.1093/hmg/ddu150,Genome-wide association study of sexual maturation in males and females highlights a role for body mass and menarche loci in male puberty,True,True
418,14,,"Crack LR, Chan HW, McPherson T, Ogg G. Identification of an immunodominant region of the major house dust mite allergen Der p 2 presented by common human leucocyte antigen alleles.   Apr;37(3):266-76.",Identification of an immunodominant region of the major house dust mite allergen Der p 2 presented by common human leucocyte antigen alleles,"{'title': ['Identification of an immunodominant region of the major house dust mite allergen Der p 2 presented by common human leucocyte antigen alleles'], 'DOI': '10.1111/j.1365-2230.2011.04227.x'}",['Identification of an immunodominant region of the major house dust mite allergen Der p 2 presented by common human leucocyte antigen alleles'],10.1111/j.1365-2230.2011.04227.x,Identification of an immunodominant region of the major house dust mite allergen Der p 2 presented by common human leucocyte antigen alleles,True,False
419,1623,10.1016/j.bbmt.2015.09.004,"Craddock C, Jilani NY, Siddique S, Yap C, Khan JN, Nagra S, Ward J, Ferguson P, Hazlewood P, Buka R, Vyas P, Goodyear OC, Tholouli E, Crawley C, Russell N, Byrne J, Malladi R, Snowden JA, Dennis M. Tolerability and clinical activity of post-transplantation azacitidine in patients allografted for acute myeloid leukemia treated on the RICAZA trial.   Feb;22(2):385-90. doi: 10.1016/j.bbmt.2015.09.004. Epub 2015 Sep 9..",Tolerability and clinical activity of post-transplantation azacitidine in patients allografted for acute myeloid leukemia treated on the RICAZA trial,"{'title': ['Tolerability and Clinical Activity of Post-Transplantation Azacitidine in Patients Allografted for Acute Myeloid Leukemia Treated on the RICAZA Trial'], 'DOI': '10.1016/j.bbmt.2015.09.004'}",['Tolerability and Clinical Activity of Post-Transplantation Azacitidine in Patients Allografted for Acute Myeloid Leukemia Treated on the RICAZA Trial'],10.1016/j.bbmt.2015.09.004,Tolerability and Clinical Activity of Post-Transplantation Azacitidine in Patients Allografted for Acute Myeloid Leukemia Treated on the RICAZA Trial,True,True
420,232,,"Craig S, Kohler M, Nicoll D, Bratton DJ, Nunn A Davies RJO, Stradling JR. Continuous positive airway pressure (CPAP) improves sleepiness but not vascular risk in patients with minimally symptomatic obstructive sleep apnoea (OSA); the MOSAIC randomised controlled trial.   Dec;67:1090-6.",Continuous positive airway pressure (CPAP) improves sleepiness but not vascular risk in patients with minimally symptomatic obstructive sleep apnoea (OSA); the MOSAIC randomised controlled trial,"{'title': ['Continuous positive airway pressure improves sleepiness but not calculated vascular risk in patients with minimally symptomatic obstructive sleep apnoea: the MOSAIC randomised controlled trial'], 'DOI': '10.1136/thoraxjnl-2012-202178'}",['Continuous positive airway pressure improves sleepiness but not calculated vascular risk in patients with minimally symptomatic obstructive sleep apnoea: the MOSAIC randomised controlled trial'],10.1136/thoraxjnl-2012-202178,Continuous positive airway pressure improves sleepiness but not calculated vascular risk in patients with minimally symptomatic obstructive sleep apnoea: the MOSAIC randomised controlled trial,False,False
421,1674,,Cranston D. A review of high intensity focused ultrasound in relation to the treatment of renal tumours and other malignancies.   Nov;27:654-8.,A review of high intensity focused ultrasound in relation to the treatment of renal tumours and other malignancies,"{'title': ['A review of high intensity focused ultrasound in relation to the treatment of renal tumours and other malignancies'], 'DOI': '10.1016/j.ultsonch.2015.05.035'}",['A review of high intensity focused ultrasound in relation to the treatment of renal tumours and other malignancies'],10.1016/j.ultsonch.2015.05.035,A review of high intensity focused ultrasound in relation to the treatment of renal tumours and other malignancies,True,False
422,310,,"Cravo A, Rohenkohl G, Wyart V, Nobre A. Temporal expectation enhances contrast sensitivity by phase entertainment of low-frequency oscillations in visual cortex.   Feb;33(9):4002-4010.",Temporal expectation enhances contrast sensitivity by phase entertainment of low-frequency oscillations in visual cortex,"{'title': ['Temporal Expectation Enhances Contrast Sensitivity by Phase Entrainment of Low-Frequency Oscillations in Visual Cortex'], 'DOI': '10.1523/jneurosci.4675-12.2013'}",['Temporal Expectation Enhances Contrast Sensitivity by Phase Entrainment of Low-Frequency Oscillations in Visual Cortex'],10.1523/jneurosci.4675-12.2013,Temporal Expectation Enhances Contrast Sensitivity by Phase Entrainment of Low-Frequency Oscillations in Visual Cortex,False,False
423,651,10.1182/blood-2013-02-482331,"Crawford G, Enders A, Gileadi U, Stankovic S, Zhang Q, Lambe T, Crockford TL, Lockstone HE, Freeman A, Arkwright PD, Smart JM, Ma CS, Tangye SG, Goodnow CC, Cerundolo V, Godfrey DI, Su HC, Randall KL, Cornall RJ. DOCK8 is critical for the survival and function of NKT cells.   Sep;122(12):2052-61. doi: 10.1182/blood-2013-02-482331. Epub 2013 Aug 8.",DOCK8 is critical for the survival and function of NKT cells,"{'title': ['DOCK8 is critical for the survival and function of NKT cells'], 'DOI': '10.1182/blood-2013-02-482331'}",['DOCK8 is critical for the survival and function of NKT cells'],10.1182/blood-2013-02-482331,DOCK8 is critical for the survival and function of NKT cells,True,True
424,1622,,"Crighton GL, Estcourt LJ, Wood EM, Trivella M, Doree C, Stanworth S.. A therapeutic-only versus prophylactic platelet transfusion strategy for preventing bleeding in patients with haematological disorders after myelosuppressive chemotherapy or stem cell transplantation..   Sep;9:CD010981.",A therapeutic-only versus prophylactic platelet transfusion strategy for preventing bleeding in patients with haematological disorders after myelosuppressive chemotherapy or stem cell transplantation.,"{'title': ['A therapeutic-only versus prophylactic platelet transfusion strategy for preventing bleeding in patients with haematological disorders after myelosuppressive chemotherapy or stem cell transplantation'], 'DOI': '10.1002/14651858.cd010981.pub2'}",['A therapeutic-only versus prophylactic platelet transfusion strategy for preventing bleeding in patients with haematological disorders after myelosuppressive chemotherapy or stem cell transplantation'],10.1002/14651858.cd010981.pub2,A therapeutic-only versus prophylactic platelet transfusion strategy for preventing bleeding in patients with haematological disorders after myelosuppressive chemotherapy or stem cell transplantation,False,False
425,2049,10.1111/hex.12479,"Crocker JC, Boylan AM, Bostock J, Locock L. Is it worth it? Patient and public views on the impact of their involvement in health research and its assessment: a UK-based qualitative interview study.   Jun. doi: 10.1111/hex.12479. [Epub ahead of print].",Is it worth it? Patient and public views on the impact of their involvement in health research and its assessment: a UK-based qualitative interview study,"{'title': ['Is it worth it? Patient and public views on the impact of their involvement in health research and its assessment: a UK-based qualitative interview study'], 'DOI': '10.1111/hex.12479'}",['Is it worth it? Patient and public views on the impact of their involvement in health research and its assessment: a UK-based qualitative interview study'],10.1111/hex.12479,Is it worth it? Patient and public views on the impact of their involvement in health research and its assessment: a UK-based qualitative interview study,True,True
