,ID,DOI,complete,csv_post_title,crossref_API_out
1775,773,,"Roberts I, O'Connor D, Roy A, Cowan G, Vyas P. The impact of trisomy 21 on foetal haematopoiesis.   Dec;51(4):277-81.",The impact of trisomy 21 on foetal haematopoiesis,None
1776,2319,,"Robey, R. C., Drysdale, S. B., Kelly, D. F., Bowler, I. C., & Sadarangani, M. (2017). Age-specific trends in antibiotic resistance in Escherichia coli infections in Oxford, United Kingdom 2013–2014. Journal of Infection, 74(2), 195-198.",Age-specific trends in antibiotic resistance in Escherichia coli infections in Oxford,None
1777,1222,10.1016/j.bbmt.2014.06.011,"Robin M, Giannotti F, Deconinck E, Mohty M, Michallet M, Sanz G, Chevallier P, Cahn JY, Legrand F, Rovira M, Passweg J, Sierra J, Nguyen S, Maillard N, Yakoub-Agha I, Linkesch W, Cannell P, Marcatti M, Bay JO, Chalandon Y, KrÃ•_ger N, Gluckman E, Rocha V, Olavarria E, Ruggeri A. Unrelated cord blood transplantation for patients with primary or secondary myelofibrosis.   Nov;20(11):1841-6. doi 10.1016/j.bbmt.2014.06.011.",Unrelated cord blood transplantation for patients with primary or secondary myelofibrosis,None
1778,2233,10.1111/anae.13601,"Robinson JA, Purple RJ, Cole P, Zaiwalla Z, Wulff K, Pattinson KTS. Sleep disturbance in patients taking opioid medication for chronic back pain.   Nov;71:1296-1307. DOI:10.1111/anae.13601.",Sleep disturbance in patients taking opioid medication for chronic back pain,None
1779,1445,10.1136/annrheumdis-2015-207416,"Robinson PC, Costello ME, Leo P, Bradbury LA, Hollis K, Cortes A, Lee S, Joo KB, Shim SC, Weisman M, Ward M, Zhou X, Garchon HJ8, Chiocchia G, Nossent J, Lie BA, FÃ•Ã´rre Ã•Ã‰, Tuomilehto J, Laiho K, Jiang L, Liu Y, Wu X, Elewaut D, Burgos-Vargas R, Gensler LS, Stebbings S, Haroon N, Mulero J, Fernandez-Sueiro JL, Gonzalez-Gay MA, Lopez-Larrea C, Bowness P, Gafney K, Gaston JS, Gladman DD, Rahman P, Maksymowych WP, Xu H, van der Horst-Bruinsma IE, Chou CT, Valle-OÃ•Â±ate R, Romero-SÃ•Ânchez MC, Hansen IM, Pimentel-Santos FM, Inman RD, Martin J, Breban M, Evans D, Reveille JD, Kim TH, Wordsworth BP, Brown MA.. ERAP2 is associated with ankylosing spondylitis in HLA-B27-positive and HLA-B27-negative patients.   Apr 27. doi: 10.1136/annrheumdis-2015-207416. Epub 2015 Apr 27..",ERAP2 is associated with ankylosing spondylitis in HLA-B27-positive and HLA-B27-negative patients,None
1780,579,,"Robson MD, Piechnik SK, Tunnicliffe EM, Neubauer S. T measurements in the human myocardium: The effects of magnetization transfer on the SASHA and MOLLI sequences.   Jul 15.",T measurements in the human myocardium: The effects of magnetization transfer on the SASHA and MOLLI sequences,None
1781,440,,"Rocha V, Labopin M, Ruggeri A, Podesta M, Gallamini A, Bonifazi F et al. Unrelated cord blood transplantation: outcomes after single-unit intrabone injection compared with double-unit intravenous injection in patients with hematological malignancies.   May;95(10):1284-91.",Unrelated cord blood transplantation: outcomes after single-unit intrabone injection compared with double-unit intravenous injection in patients with hematological malignancies,None
1782,844,10.3109/07420528.2013.843542,"Rock P, Goodwin G, Harmer C, Wulff K. Daily rest-activity patterns in the bipolar phenotype: a controlled actigraphy study.   Mar;31(2):290-296. DOI: 10.3109/07420528.2013.843542.",Daily rest-activity patterns in the bipolar phenotype: a controlled actigraphy study,None
1783,1844,10.1177/0269881115626336,"Rock PL, Goodwin GM, Wulff K, McTavish SF, Harmer CJ. Effects of short-term quetiapine treatment on emotional processing, sleep and circadian rhythms..   Mar;30(3):273-82. doi: 10.1177/0269881115626336. Epub 2016 Feb 11..","Effects of short-term quetiapine treatment on emotional processing, sleep and circadian rhythms.",None
1784,1088,,"Rodgers CT, Clarke WT, Snyder C, Vaughan JT, Neubauer S, Robson MD. Human cardiac 31P magnetic resonance spectroscopy at 7 Tesla.   Aug;72(2):304-15.",Human cardiac 31P magnetic resonance spectroscopy at 7 Tesla,None
1785,697,10.1016/j.vaccine.2013.08.009,"Rodgers GL, Esposito S, Principi N, Gutierrez-Brito M, Diez-Domingo J, Pollard AJ, Snape MD, MartinÃ•_n-Torres F, Gruber WC, Patterson S, Thompson A, Gurtman A, Paradiso P, Scott DA. Immune response to 13-valent pneumococcal conjugate vaccine with a reduced dosing schedule.   Oct;31(42):4765-74. doi: 10.1016/j.vaccine.2013.08.009. Epub 2013 Aug 16.",Immune response to 13-valent pneumococcal conjugate vaccine with a reduced dosing schedule,None
1786,584,,"Rodrigues CA, Rocha V, Dreger P, Brunstein CG, Sengeloev H, Finke J et al. Alternative donor hematopoietic stem cell transplantation for mature lymphoid malignancies after reduced-intensity conditioning regimen: similar outcomes with umbilical cord blood and unrelated donor peripheral blood.   Aug;9:9.",Alternative donor hematopoietic stem cell transplantation for mature lymphoid malignancies after reduced-intensity conditioning regimen: similar outcomes with umbilical cord blood and unrelated donor peripheral blood,None
1787,57,10.1371/journal.pone.0038434,"Roestenberg M, O'Hara GA, Duncan CJ, Epstein JE, Edwards NJ, Scholzen A, van der Ven AJ, Hermsen CC, Hill AV, Sauerwein RW. Comparison of clinical and parasitological data from controlled human malaria infection trials.   Jun;7(6):e38434. doi: 10.1371/journal.pone.0038434. Epub 2012 Jun 11.",Comparison of clinical and parasitological data from controlled human malaria infection trials,None
1788,955,,"Rogers A, Nesbit MA, Hannan FM, Howles SA, Gorvin CM, Cranston T, Allgrove J, Bevan JS, Bano G, Brain C, Datta V, Grossman AB, Hodgson SV, Izatt L, Millar-Jones L, Pearce SH, Robertson L, Selby PL, Shine B, Snape K, Warner J, Thakker RV. Mutational analysis of the Adaptor Protein 2 Sigma Subunit (AP2S1) gene: search for autosomal dominant Hypocalcemia Type 3 (ADH3).   Apr 7. Epub ahead of print.",Mutational analysis of the Adaptor Protein 2 Sigma Subunit (AP2S1) gene: search for autosomal dominant Hypocalcemia Type 3 (ADH3),None
1789,631,,"Rohrbacher H, Blackwell SE, Holmes EA, Reinecke A. Optimizing the ingredients for imagery-based interpretation bias modification for depressed mood: is self-generation more effective than imagination alone?.   Sep. [Epub ahead of print].",Optimizing the ingredients for imagery-based interpretation bias modification for depressed mood: is self-generation more effective than imagination alone?,None
1790,755,,"Rolinski M, Ben-Shlomo Y, Szewczyk-Krolikowski K, Tomlinson P, Nithi K, Murray C, Talbot K, Hu MT, Ben-shlomo Y. REM sleep behavior disorder is associated with worse non-motor characteristics in an early Parkinson' s disease cohort.   Nov.",REM sleep behavior disorder is associated with worse non-motor characteristics in an early Parkinson's disease cohort,"{'title': ['Plasma urate in REM sleep behavior disorder'], 'DOI': '10.1002/mds.25441'}"
1791,1826,10.1016/j.nicl.2015.04.003,"Rolinski M, Griffanti L, Szewczyk-Krolikowski K, Menke R, Wilcock G, Filippini N, Zamboni G, Hu MT, Mackay CE. Aberrant functional connectivity within the basal ganglia of patients with Parkinson' s disease.   Apr 9;8:126-32. doi: 10.1016/j.nicl.2015.04.003. eCollection 2015.",Aberrant functional connectivity within the basal ganglia of patients with Parkinson's disease,"{'title': [""Longitudinal changes in functional connectivity of cortico-basal ganglia networks in manifests and premanifest huntington's disease""], 'DOI': '10.1002/hbm.23299'}"
1792,1840,10.1093/brain/awv334,"Rolinski M, Zokaei N, Baig F, Giehl K, Quinnell T, Zaiwalla Z, Mackay CE, Husain M, Hu MT. Visual short-term memory deficits in REM sleep behaviour disorder mirror those in Parkinson's disease.   Jan;139:47-53. doi:10.1093/brain/awv334.",Visual short-term memory deficits in REM sleep behaviour disorder mirror those in Parkinson's disease,"{'title': ['Visual short-term memory deficits in REM sleep behaviour disorder mirror those in Parkinson’s disease'], 'DOI': '10.1093/brain/awv334'}"
1793,1300,10.1517/14712598.2015.983897,"Rollier CS, Dold C, Marsay L, Sadarangani M, Pollard AJ. The capsular group B meningococcal vaccine, 4CMenB : clinical experience and potential efficacy.   Jan;15(1):131-42. doi: 10.1517/14712598.2015.983897.","The capsular group B meningococcal vaccine, 4CMenB : clinical experience and potential efficacy",None
1794,1618,10.1080/19420862.2015.1100787,"Roncador G, Engel P, Maestre L, Anderson AP, Cordell JL, Cragg MS, Â_erbec V""”Ã”, Jones M, Lisnic VJ, Kremer L, Li D, Koch-Nolte F, Pascual N, RodrÃ•_guez-Barbosa J, Torensma R, Turley H, Pulford K, Banham AH. The European antibody network' s practical guide to finding and validating suitable antibodies for research.   Jan 2;8(1):27-36. doi: 10.1080/19420862.2015.1100787. Epub 2015 Sep 29..",The European antibody network's practical guide to finding and validating suitable antibodies for research,None
1795,258,,"Roos-Weil D, Dietrich S, Boumendil A, Polge E, Bron D, Carreras E et al. Stem cell transplantation can provide durable disease control in blastic plasmacytoid dendritic cell neoplasm: a retrospective study from the European Group for Blood and Marrow Transplantation.   Jan;121(3):440-6.",Stem cell transplantation can provide durable disease control in blastic plasmacytoid dendritic cell neoplasm: a retrospective study from the European Group for Blood and Marrow Transplantation,None
1796,339,,"Rosenthal CR, Ng TW, Kennard C. Generalisation of new sequence knowledge depends on response modality.   Feb;8(2):e53990.",Generalisation of new sequence knowledge depends on response modality,None
1797,919,,"Rosmarin D, Palles C, Church D, Domingo E, Jones A, Johnstone E, Wang H, Love S, Julier P, Scudder C, Nicholson G, Gonzalez-Neira A, Martin M, Sargent D, Green E, McLeod H, Zanger UM, Schwab M, Braun M, Seymour M, Thompson L, Lacas B, Boige V, Ribelles N, Afzal S, Enghusen H, Astrup Jensen S, Etienne-Grimaldi MC, Milano G, Wadelius M, Glimelius B, Garmo H, Gusella M, Lecomte T, Laurent-Puig P, Martinez-Balibrea E, Sharma R, Garcia-Foncillas J, Kleibl Z, Morel A, Pignon JP, Midgley R, Kerr D, Tomlinson I. Genetic markers of toxicity from Capecitabine and other fluorouracil-based regimens: investigation in the QUASAR2 study, systematic review, and meta-analysis.   Mar 3. ePub ahead of print.","Genetic markers of toxicity from Capecitabine and other fluorouracil-based regimens: investigation in the QUASAR2 study, systematic review, and meta-analysis",None
1798,1314,10.1136/gutjnl-2013-306571,"Rosmarin D, Palles C, Pagnamenta A, Kaur K, Pita G, Martin M, Domingo E, Jones A, Howarth K, Freeman-Mills L, Johnstone E, Wang H, Love S, Scudder C, Julier P, FernÃ•Ândez-Rozadilla C, Ruiz-Ponte C, Carracedo A, Castellvi-Bel S, Castells A, Gonzalez-Neira A, Taylor J, Kerr R, Kerr D, Tomlinson I, Fernandez-Rozadilla C. A candidate gene study of capecitabine-related toxicity in colorectal cancer identifies new toxicity variants at DPYD and a putative role for ENOSF1 rather than TYMS.   Jan;64(1):111-120. doi: 10.1136  ePub ahead of print Mar. 19.",A candidate gene study of capecitabine-related toxicity in colorectal cancer identifies new toxicity variants at DPYD and a putative role for ENOSF1 rather than TYMS,None
1799,1161,10.1136/jnnp-2014-308695,"Rossi M, Mead S, Collinge J, Rudge P, Vincent A. Neuronal antibodies in patients with suspected or confirmed sporadic Creutzfeldt-Jakob disease.   Sep 24. pii: jnnp-2014-308695. doi: 10.1136/jnnp-2014-308695. [Epub ahead of print].",Neuronal antibodies in patients with suspected or confirmed sporadic Creutzfeldt-Jakob disease,None
1800,986,10.1183/09031936.00180213,"Rossi VA, Schwarz EI, Bloch KE, Stradling JR, Kohler M. Is continuous positive airway pressure necessarily an everyday therapy in patients with obstructive sleep apnoea.   May 1;43(5):1387-1393. DOI: 10.1183/09031936.00180213.",Is continuous positive airway pressure necessarily an everyday therapy in patients with obstructive sleep apnoea,None
1801,640,,"Rossi VA, Winter B, Rahman NM, Yu LM, Fallon J, Clarenbach CF, Bloch KE, Stradling JR, Kohler M. The effects of provent on moderate to severe obstructive sleep apnoea during continuous positive airway pressure therapy withdrawal: A randomised controlled trial.   Sep;68:854-859.",The effects of provent on moderate to severe obstructive sleep apnoea during continuous positive airway pressure therapy withdrawal: A randomised controlled trial,None
1802,2382,10.1172/jci.insight.91079,"Roszko KL, Bi R, Gorvin CM, Brauner-Osborne H, Xiong XF, Inoue A, et al. Knockin mouse with mutant Galpha11 mimics human inherited hypocalcemia and is rescued by pharmacologic inhibitors. JCI Insight. 2017;2(3):e91079.
",Knockin mouse with mutant Galpha11 mimics human inherited hypocalcemia and is rescued by pharmacologic inhibitors,"{'title': ['Knockin mouse with mutant Gα11 mimics human inherited hypocalcemia and is rescued by pharmacologic inhibitors'], 'DOI': '10.1172/jci.insight.91079'}"
1803,2048,10.1016/S0140-6736(16)30468-8,"Rothwell PM, Algra A, Chen Z, Diener HC, Norrving B., Mehta Z. Effects of aspirin on risk and severity of early recurrent stroke after transient ischaemic attack and ischaemic stroke: time-course analysis of randomised trials.   May 18;pii: S0140-6736(16):30468-8. doi: 10.1016/S0140-6736(16)30468-8. [Epub ahead of print].",Effects of aspirin on risk and severity of early recurrent stroke after transient ischaemic attack and ischaemic stroke: time-course analysis of randomised trials,"{'title': ['Effects of aspirin on risk and severity of early recurrent stroke after transient ischaemic attack and ischaemic stroke: time-course analysis of randomised trials'], 'DOI': '10.1016/s0140-6736(16)30468-8'}"
1804,2372,10.1016/S1474-4422(16)30332-5 ,"Rothwell PM. Stroke research in 2016: when more medicine is better, and when it isn't. Lancet Neurol. 2017;16(1):2-3.
","Stroke research in 2016: when more medicine is better, and when it isn't.","{'title': [""Stroke research in 2016: when more medicine is better, and when it isn't""], 'DOI': '10.1016/s1474-4422(16)30332-5'}"
1805,2288,,"Rowland MJ, Garry P, Westbrook J, Corkill R, Antoniades CA, Pattinson KT. Acute impairment of saccadic eye movements is associated with delayed cerebral ischemia after aneurysmal subarachnoid hemorrhage.   Dec 9:01-Jul. [Epub ahead of print].",Acute impairment of saccadic eye movements is associated with delayed cerebral ischemia after aneurysmal subarachnoid hemorrhage,"{'title': ['Acute impairment of saccadic eye movements is associated with delayed cerebral ischemia after aneurysmal subarachnoid hemorrhage'], 'DOI': '10.3171/2016.8.jns16408'}"
1806,151,,"Rowland MJ, Hadjipavlou G, Kelly M, Westbrook J, Pattinson KT. Delayed cerebral ischaemia after subarachnoid haemorrhage: looking beyond vasospasm.   Sep.",Delayed cerebral ischaemia after subarachnoid haemorrhage: looking beyond vasospasm,"{'title': ['Delayed Cerebral Ischaemia After Subarachnoid Haemorrhage'], 'DOI': '10.1097/01.uc.0000428883.72053.4e'}"
1807,600,10.4161/hv.24998,"Rowland R, O'Hara GA, Hamill M, Poulton ID, Donaldson H, Dinsmore L, James T, Barnes E, Klenerman P, Gilbert SC, Hill AV, Shine B, McShane H. Determining the validity of hospital laboratory reference intervals for healthy young adults participating in early clinical trials of candidate vaccines.   Aug;9(8):1741-51. doi: 10.4161/hv.24998. Epub 2013 Jun 3.",Determining the validity of hospital laboratory reference intervals for healthy young adults participating in early clinical trials of candidate vaccines,"{'title': ['Determining the validity of hospital laboratory reference intervals for healthy young adults participating in early clinical trials of candidate vaccines'], 'DOI': '10.4161/hv.24998'}"
1808,297,10.4161/hv.22464,"Rowland R, Pathan AA, Satti I, Poulton ID, Matsumiya MM, Whittaker M, Minassian AM, O'Hara GA, Hamill M, Scott JT, Harris SA, Poyntz HC, Bateman C, Meyer J, Williams N, Gilbert SC, Lawrie AM, Hill AV, McShane H. Safety and immunogenicity of an FP9-vectored candidate tuberculosis vaccine (FP85A), alone and with candidate vaccine MVA85A in BCG-vaccinated healthy adults: a phase I clinical trial.   Jan 1;9(1):50-62. doi: 10.4161/hv.22464. Epub 2012 Nov 10.","Safety and immunogenicity of an FP9-vectored candidate tuberculosis vaccine (FP85A), alone and with candidate vaccine MVA85A in BCG-vaccinated healthy adults: a phase I clinical trial","{'title': ['Safety and immunogenicity of an FP9-vectored candidate tuberculosis vaccine (FP85A), alone and with candidate vaccine MVA85A in BCG-vaccinated healthy adults'], 'DOI': '10.4161/hv.22464'}"
1809,500,10.1136/jclinpath-2012-201348,Roxanis I. Occurence and significance of epithelial-mesenchymal transition in breast cancer.   Jun;66(6):517-21. doi: 10.1136/jclinpath-2012-201348.,Occurence and significance of epithelial-mesenchymal transition in breast cancer,"{'title': ['Expression patterns of epithelial-mesenchymal transition markers in localized prostate cancer: significance in clinicopathological outcomes following radical prostatectomy'], 'DOI': '10.1111/j.1464-410x.2012.11551.x'}"
1810,109,,"Roy A, Roberts I, Vyas P. Biology and management of transient abnormal myelopoiesis (TAM) in children with Down syndrome.   Aug;17(4):196-201. Epub 14 Mar 2012.",Biology and management of transient abnormal myelopoiesis (TAM) in children with Down syndrome,"{'title': ['Biology and management of transient abnormal myelopoiesis (TAM) in children with Down syndrome'], 'DOI': '10.1016/j.siny.2012.02.010'}"
1811,2266,10.1111/bjh.14221,"Roy NBA, Wilson EA, Henderson S, Wray K, Babbs C, Okoli S et al. A novel 33-Gene targeted resequencing panel provides accurate, clinical-grade diagnosis and improves patient management for rare inherited anaemias.   Oct;175(2):318-330. doi: 10.1111/bjh.14221. Epub 2016 Jul 19.","A novel 33-Gene targeted resequencing panel provides accurate, clinical-grade diagnosis and improves patient management for rare inherited anaemias","{'title': ['A novel 33-Gene targeted resequencing panel provides accurate, clinical-grade diagnosis and improves patient management for rare inherited anaemias'], 'DOI': '10.1111/bjh.14221'}"
1812,299,,"Ruark E, Snape K et al. Mosaic PPM1D mutations are associated with predisposition to breast and ovarian cancer.   Jan;493(7432):406-10.",Mosaic PPM1D mutations are associated with predisposition to breast and ovarian cancer,"{'title': ['Mosaic PPM1D mutations are associated with predisposition to breast and ovarian cancer'], 'DOI': '10.1038/nature11725'}"
1813,1427,,"Ruggeri A, Labopin M, Sanz G, Piemontese S, Arcese W, Bacigalupo A, Blaise D, Bosi A, Huang H, Karakasis D, Koc Y, Michallet M, Picardi A, Sanz J, Santarone S, Sengelov H, Sierra J, Vincent L, Volt F, Nagler A, Gluckman E, Ciceri F, Rocha V, Mohty M. Comparison of outcomes after unrelated cord blood and unmanipulated haploidentical stem cell transplantation in adults with acute leukemia.   Sep;29(9):1891-900.",Comparison of outcomes after unrelated cord blood and unmanipulated haploidentical stem cell transplantation in adults with acute leukemia,"{'title': ['Unmanipulated HLA-mismatched/haploidentical peripheral blood stem cell transplantation for high-risk hematologic malignancies'], 'DOI': '10.1111/j.1537-2995.2011.03478.x'}"
1814,543,,"Ruggeri A, Rocha V, Masson E, Labopin M, Cunha R, Absi L et al. Impact of donor-specific anti-HLA antibodies on graft failure and survival after reduced intensity conditioning-unrelated cord blood transplantation: a Eurocord, Societe Francophone d' Histocompatibilite et d' Immunogenetique (SFHI) and Societe Francaise de Greffe de Moelle et de Therapie Cellulaire (SFGM-TC) analysis.   Jul;98(7):1154-60.","Impact of donor-specific anti-HLA antibodies on graft failure and survival after reduced intensity conditioning-unrelated cord blood transplantation: a Eurocord, Societe Francophone d'Histocompatibilite et d'Immunogenetique (SFHI) and Societe Francaise de Greffe de Moelle et de Therapie Cellulaire (SFGM-TC) analysis","{'title': [""Impact of donor-specific anti-HLA antibodies on graft failure and survival after reduced intensity conditioning-unrelated cord blood transplantation: a Eurocord, Societe Francophone d'Histocompatibilite et d'Immunogenetique (SFHI) and Societe Francaise de Greffe de Moelle et de Therapie Cellulaire (SFGM-TC) analysis""], 'DOI': '10.3324/haematol.2012.077685'}"
1815,396,,"Ruggeri A, Sanz G, Bittencourt H, Sanz J, Rambaldi A, Volt F et al. Comparison of outcomes after single or double cord blood transplantation in adults with acute leukemia using different types of myeloablative conditioning regimen, a retrospective study on behalf of Eurocord and the Acute Leukemia Working Party of EBMT.   Apr;5(10):259.","Comparison of outcomes after single or double cord blood transplantation in adults with acute leukemia using different types of myeloablative conditioning regimen, a retrospective study on behalf of Eurocord and the Acute Leukemia Working Party of EBMT","{'title': ['Comparison of outcomes after single or double cord blood transplantation in adults with acute leukemia using different types of myeloablative conditioning regimen, a retrospective study on behalf of Eurocord and the Acute Leukemia Working Party of EBMT'], 'DOI': '10.1038/leu.2013.259'}"
1816,180,,"Rughani MG, Swan MC, Adams TS, Marshall A, Asher R, Cassell OC, Middleton MR. Sentinel node status predicts survival in thick melanomas: the Oxford perspective.   Oct.",Sentinel node status predicts survival in thick melanomas: the Oxford perspective,"{'title': ['Sentinel node status predicts survival in thick melanomas: The Oxford perspective'], 'DOI': '10.1016/j.ejso.2012.04.011'}"
1817,1259,10.1111/acps.12373,"RugkÃ•""šsa J, Molodynski A, Yeeles K, Vazquez Montes M, Visser C, Burns T, Vazquez-Montes M. Community treatment orders: clinical and social outcomes, and a subgroup analysis from the OCTET RCT.   May;131(5):321-9. doi: 10.1111/acps.12373. Epub 2014 Dec 11..","Community treatment orders: clinical and social outcomes, and a subgroup analysis from the OCTET RCT","{'title': ['Community treatment orders: clinical and social outcomes, and a subgroup analysis from the OCTET RCT'], 'DOI': '10.1111/acps.12373'}"
1818,2170,10.1111/aogs.12862,"Rukuni R, Bhattacharya S, Murphy MF, Roberts D, Stanworth SJ, Knight M. Maternal and neonatal outcomes of antenatal anemia in a Scottish population: a retrospective cohort study.   May;95(5):555-64. doi: 10.1111/aogs.12862. Epub 2016 Mar 1..",Maternal and neonatal outcomes of antenatal anemia in a Scottish population: a retrospective cohort study,"{'title': ['Maternal and neonatal outcomes of antenatal anemia in a Scottish population: a retrospective cohort study'], 'DOI': '10.1111/aogs.12862'}"
1819,2289,10.1038/nrcardio.2016.185,"Ruparelia N, Chai JT, Fisher EA, Choudhury RP. Inflammatory processes in cardiovascular disease: a route to targeted therapies.   Mar;14(3):133-144. doi: 10.1038/nrcardio.2016.185. Epub 2016 Dec 1.",Inflammatory processes in cardiovascular disease: a route to targeted therapies,None
1820,450,,"Ruparelia N, Digby JE, Jefferson A, Medway DJ, Neubauer S, Lygate CA et al. Myocardial infarction causes inflammation and leukocyte recruitment at remote sites in the myocardium and in the renal glomerulus.   May;62(5):515-25.",Myocardial infarction causes inflammation and leukocyte recruitment at remote sites in the myocardium and in the renal glomerulus,"{'title': ['222 MYOCARDIAL INFARCTION CAUSES INFLAMMATION AND LEUKOCYTE RECRUITMENT AT REMOTE SITES IN THE MYOCARDIUM AND IN THE RENAL GLOMERULUS'], 'DOI': '10.1136/heartjnl-2013-304019.222'}"
1821,1452,,"Ruparelia N, Godec J, Lee R, Chai JT, Dall&amp;#039;Armellina E, McAndrew D, Digby JE, Forfar JC, Prendergast BD, Kharbanda RK, Banning AP, Neubauer S, Lygate CA, Channon KM, Nicholas Haining W, Choudhury RP., Dall'Armellina E. Acute myocardial infarction activates distinct inflammation and proliferation pathways in circulating monocytes, prior to recruitment, and identified through conserved transcriptional responses in mice and humans.   May. pii: ehv195. Epub ahead of print.","Acute myocardial infarction activates distinct inflammation and proliferation pathways in circulating monocytes, prior to recruitment, and identified through conserved transcriptional responses in mice and humans","{'title': ['Acute myocardial infarction activates distinct inflammation and proliferation pathways in circulating monocytes, prior to recruitment, and identified through conserved transcriptional responses in mice and humans'], 'DOI': '10.1093/eurheartj/ehv195'}"
1822,172,,"Russell-Jones D, Gough S. Recent advances in incretin-based therapies.   Oct;77(4):489-99.",Recent advances in incretin-based therapies,None
1823,2008,10.1161/STROKEAHA.114.008540,"Rutten-Jacobs LC, Traylor M, Adib-Samii P, Thijs V, Sudlow C, Rothwell PM, Boncoraglio G, Dichgans M, Bevan S, Meschia J, Levi C, Rost NS, Rosand J, Hassan A, Markus HS. Common NOTCH3 Variants and Cerebral Small-Vessel Disease.   Jun;46(6):1482-7. doi: 10.1161/STROKEAHA.114.008540.",Common NOTCH3 Variants and Cerebral Small-Vessel Disease,"{'title': ['Neuroimaging of Cerebral Small Vessel Disease'], 'DOI': '10.1111/bpa.12179'}"
1824,2002,10.1161/STROKEAHA.115.011545,"Rutten-Jacobs LC, Traylor M, Adib-Samii P, Thijs V, Sudlow C, Rothwell PM, Boncoraglio G, Dichgans M, Meschia J, Maguire J, Levi C, Rost NS, Rosand J, Hassan A, Bevan S, Markus HS. Association of MTHFR C677T Genotype With Ischemic Stroke Is Confined to Cerebral Small Vessel Disease Subtype.   Feb 2;47:646-651. DOI: 10.1161/STROKEAHA.115.011545.",Association of MTHFR C677T Genotype With Ischemic Stroke Is Confined to Cerebral Small Vessel Disease Subtype,None
1825,1239,,"Ryan BJ, Crabtree MJ, Channon KM, Wade-Martins R. Parkinson' s disease in GTP cyclohydrolase 1 mutation carriers.   Nov 14.",Parkinson's disease in GTP cyclohydrolase 1 mutation carriers,"{'title': ['DJ-1 and Parkinson′s Disease*'], 'DOI': '10.3724/sp.j.1206.2010.00393'}"
1826,728,,"Ryan BJ, Lourenco-Venda LL, Crabtree MJ, Hale AB, Channon KM, Wade-Martins R. Alpha-Synuclein and mitochondrial bioenergetics regulate tetrahydrobiopterin levels in a human dopaminergic model of Parkinson disease.   Oct 19;67C:58-68.",Alpha-Synuclein and mitochondrial bioenergetics regulate tetrahydrobiopterin levels in a human dopaminergic model of Parkinson disease,"{'title': ['α-Synuclein and mitochondrial bioenergetics regulate tetrahydrobiopterin levels in a human dopaminergic model of Parkinson disease'], 'DOI': '10.1016/j.freeradbiomed.2013.10.008'}"
1827,1821,10.1016/j.jaut.2016.03.009,"Rysnik O, McHugh K, van Duivenvoorde L, van Tok M, Guggino G, Taurog J, Kollnberger S, Ciccia F, Baeten D, Bowness P.. Non-conventional forms of HLA-B27 are expressed in spondyloarthritis joints and gut tissue.   Jun;70:12-21. doi: 10.1016/j.jaut.2016.03.009. Epub 2016 Mar 29.",Non-conventional forms of HLA-B27 are expressed in spondyloarthritis joints and gut tissue,"{'title': ['Non-conventional forms of HLA-B27 are expressed in spondyloarthritis joints and gut tissue'], 'DOI': '10.1016/j.jaut.2016.03.009'}"
1828,1652,10.1097/CMR.0000000000000185,"S Ahmad S1, Qian W, Ellis S, Mason E, Khattak MA, Gupta A, Shaw H, Quinton A, Kovarikova J, Thillai K, Rao A, Board R, Nobes J, Dalgleish A, Grumett S, Maraveyas A, Danson S, Talbot T, Harries M, Marples M, Plummer R, Kumar S, Nathan P, Middleton MR, Larkin J, Lorigan P, Wheater M, Ottensmeier CH, Corrie PG. et al. Ipilimumab in the real world: the UK expanded access programme experience in previously treated advanced melanoma patients.   Oct;25(15):432-42. doi: 10.1097/CMR.0000000000000185..",Ipilimumab in the real world: the UK expanded access programme experience in previously treated advanced melanoma patients,"{'title': ['Ipilimumab in the real world'], 'DOI': '10.1097/cmr.0000000000000185'}"
1829,913,10.1373/clinchem.2013.211219,"S, SÃ•_vblom C, HalldÅ½n C, Cronin AM, SÃ•_ll T, Savage C, Vertosick EA, Klein RJ, Giwercman A, Lilja H. Genetic variation in KLK2 and KLK3 is associated with concentrations of HKK2 and PSA in serum and seminal plasma in young men.   Mar;60:490-499. doi: 10.1373/clinchem.2013.211219. Epub 2013 Nov 22.",Genetic variation in KLK2 and KLK3 is associated with concentrations of HKK2 and PSA in serum and seminal plasma in young men,"{'title': ['Genetic Variation in KLK2 and KLK3 Is Associated with Concentrations of hK2 and PSA in Serum and Seminal Plasma in Young Men'], 'DOI': '10.1373/clinchem.2013.211219'}"
1830,509,,"SÃ•Âez-Ayala M, Montenegro M, SÃ•Ânchez-del-Campo L, FernÃ•Ândez-PÅ½rez MP, Chazarra S, Freter R, Middleton M, PiÃ•Â±ero-Madrona A, Cabezas-Herrera J, Goding CR, RodrÃ•_guez-LÃ•_pez JN. Directed phenotype switching as an effective antimelanoma strategy.   Jun;24(1):105-19.",Directed phenotype switching as an effective antimelanoma strategy,"{'title': ['Directed Phenotype Switching as an Effective Antimelanoma Strategy'], 'DOI': '10.1016/j.ccr.2013.05.009'}"
