ID,FinalDOI,Themes
522,10.7861/clinmedicine.13-3-278,Diabetes
523,10.4049/jimmunol.1203267,Immunity and Inflammation
524,10.4161/auto.24132,Immunity and Inflammation
525,10.1111/cea.12023,Immunity and Inflammation
526,10.1016/j.jcmg.2012.11.020,Immunity and Inflammation
527,10.1016/j.celrep.2013.04.031,Blood
528,10.1002/path.4185,Genomic Medicine
529,10.1016/j.jvs.2013.12.006,Cardiovascular
530,10.1016/j.jcmg.2012.10.030,Cardiovascular
531,10.1161/circulationaha.112.001133,Cardiovascular
532,10.1038/ejhg.2013.116,Dementia and Cerebrovascular Disease
533,10.1056/nejmoa1300253,Genomic Medicine
534,10.1192/bjp.bp.113.126987,Cardiovascular
535,10.1161/circimaging.113.000498,Cardiovascular
536,10.1093/bja/aet174,Functional Neurosciences and Imaging
537,10.1002/art.37962,Functional Neurosciences and Imaging
538,10.1016/j.expneurol.2012.07.005,Functional Neurosciences and Imaging
539,10.1161/circimaging.113.000528,Cardiovascular
540,10.1002/gepi.21729,Dementia and Cerebrovascular Disease
541,10.1111/bjh.12352,Blood
542,10.1161/strokeaha.113.000949,Dementia and Cerebrovascular Disease
543,10.3324/haematol.2012.077685,Blood
544,10.1177/2040622313485275,Vaccines
545,10.1523/jneurosci.3887-12.2013,Functional Neurosciences and Imaging
546,10.1136/jclinpath-2013-201440,Pathology and Bioresources
547,10.1111/his.12224,Pathology and Bioresources
548,10.1093/hmg/ddt131,Genomic Medicine
549,10.1074/mcp.m113.028365,Pathology and Bioresources
550,10.1109/jbhi.2012.2234130,Biomedical Informatics and Technology
551,10.1038/mt.2013.162,Vaccines
553,10.1097/inf.0b013e318292f425,Vaccines
554,10.1186/1742-4690-10-72,Vaccines
555,10.1177/0956462413476267,Immunity and Inflammation
556,10.12968/pnur.2013.24.7.323,Vaccines
557,10.1038/leu.2013.224,Blood
558,10.1038/ng.2667,Immunity and Inflammation
559,10.1136/jnnp-2012-303807,Immunity and Inflammation
560,10.1186/1471-2334-13-341,Immunity and Inflammation
561,10.1146/annurev-genom-091212-153455,Immunity and Inflammation
562,10.2147/ijn.s44013,Immunity and Inflammation
563,10.1097/bor.0b013e3283620163,Immunity and Inflammation
564,10.1136/heartjnl-2012-303052,Translational Physiology
565,10.1038/bjc.2013.240,Cancer
566,10.1017/s0033291712002358,Cognitive Health
567,10.1016/j.dcn.2013.02.004,Cognitive Health
568,10.1093/hmg/ddt104,Diabetes
569,10.1186/gb-2013-14-7-r75,Diabetes
570,10.1371/journal.pone.0067695,Functional Neurosciences and Imaging
571,10.1016/j.neuroimage.2013.02.038,Functional Neurosciences and Imaging
572,10.1111/trf.12058,Blood
573,10.1186/1745-6215-14-206,Blood
574,10.1007/s10608-013-9564-x,Cognitive Health
575,10.1136/bmj.f4303,Blood
576,10.3324/haematol.2013.086686,Molecular Diagnostics
577,10.1097/wad.0b013e31829b72f1,Dementia and Cerebrovascular Disease
578,10.1111/bioe.12040,Patient and Public Involvement
579,10.1002/mrm.24867,Cardiovascular
580,10.1158/1078-0432.ccr-12-3647,Cancer
581,10.1016/j.jacc.2013.06.044,Cardiovascular
582,10.1111/bjh.12491,Molecular Diagnostics
583,10.1177/2047487313501886,Prevention and Population Care
584,10.3324/haematol.2013.088997,Blood
585,10.1038/ng.2694,Immunity and Inflammation
586,10.1200/jco.2012.46.9478,Cancer
587,10.12703/p5-31,Cardiovascular
588,10.1111/dme.12210,Genomic Medicine
589,10.1136/heartjnl-2012-303443,Translational Physiology
590,10.1136/jclinpath-2013-201608,Pathology and Bioresources
591,10.1096/fj.13-228759,"Diabetes, Genomic Medicine"
592,10.1016/j.ccr.2013.06.004,"Cancer, Blood"
593,10.1530/erc-12-0129,Pathology and Bioresources
594,10.1161/circulationaha.113.001719,Cardiovascular
595,10.1002/cam4.105,Cancer
596,10.1586/14760584.2013.814862,Vaccines
597,10.1111/nan.12020,Dementia and Cerebrovascular Disease
598,10.1016/s0140-6736(13)61572-x,Vaccines
599,10.1093/tropej/fmt024,Vaccines
600,10.4161/hv.24998,"Immunity and Inflammation, Vaccines"
601,10.1016/j.anndiagpath.2013.04.001,Pathology and Bioresources
602,10.1517/14712598.2013.791277,"Immunity and Inflammation, Vaccines"
603,10.1583/13-4244.1,Cardiovascular
604,10.1111/nyas.12256,Cognitive Health
605,10.1186/1532-429x-15-69,Cardiovascular
606,10.1371/journal.pone.0070735,Diabetes
607,10.1007/s10286-013-0206-x,Functional Neurosciences and Imaging
608,10.1182/blood-2013-03-489112,Blood
609,10.3389/fimmu.2013.00223,"Immunity and Inflammation, Infection"
610,10.1093/hmg/ddt357,Genomic Medicine
611,10.1161/circulationaha.113.002583,Cardiovascular
612,10.5083/ejcm.20424884.102,Cardiovascular
613,10.1007/s11265-013-0835-2,Biomedical Informatics and Technology
614,10.1016/s0140-6736(13)61454-3,Cardiovascular
615,10.1161/jaha.113.000251,Biomedical Informatics and Technology
616,10.1371/journal.pone.0066749,Immunity and Inflammation
617,10.1038/bjc.2013.416,Genomic Medicine
618,10.1038/leu.2013.20,Blood
619,10.1128/cvi.00427-13,Research Education and Training
620,10.1136/heartjnl-2013-304354,Cardiovascular
621,10.1161/circresaha.113.300282,Cardiovascular
622,10.1161/circresaha.112.274464,Cardiovascular
623,10.1016/j.bbmt.2013.07.006,Blood
624,10.1136/medethics-2012-100676,Patient and Public Involvement
625,10.1016/j.jbtep.2013.01.003,Cognitive Health
626,10.3399/bjgp13x671812,Patient and Public Involvement
627,10.1160/th13-05-0368,Cardiovascular
628,10.1378/chest.13-0179,Cardiovascular
629,10.1016/j.ijcard.2012.12.005,"Cardiovascular, Immunity and Inflammation"
630,10.1136/heartjnl-2012-303346,Cardiovascular
631,10.1016/j.jad.2013.09.013,Cognitive Health
632,10.1097/01.ogx.0000459566.75982.8c,Genomic Medicine
633,10.1101/gr.152942.112,Genomic Medicine
634,10.3945/ajcn.112.044545,Cardiovascular
635,10.1186/1532-429x-15-s1-o14,Cardiovascular
636,10.1161/circimaging.113.000559,Cardiovascular
637,10.1016/j.biopsych.2013.04.015,"Cognitive Health, Dementia and Cerebrovascular Disease, Functional Neurosciences and Imaging"
638,10.1002/pros.22690,Pathology and Bioresources
639,10.1016/j.aca.2013.06.041,Pathology and Bioresources
640,10.1136/thoraxjnl-2013-203508,Translational Physiology
641,10.1371/journal.pone.0069097,Pathology and Bioresources
642,10.1016/j.mpdhp.2013.08.002,Pathology and Bioresources
643,10.1016/j.humpath.2013.05.017,Pathology and Bioresources
644,10.1111/j.1464-410x.2012.11690.x,Pathology and Bioresources
645,10.4137/cmed.s7314,Diabetes
646,10.1136/archdischild-2013-303893,Vaccines
647,10.1093/cid/cit373,Vaccines
648,10.3324/haematol.2013.089490,Genomic Medicine
649,10.1111/1469-0691.12183,Infection
650,10.1007/s00296-012-2404-6,Immunity and Inflammation
651,10.1182/blood-2013-02-482331,Immunity and Inflammation
652,10.2337/dc12-2329,Diabetes
653,10.1136/bmjopen-2013-003631,"Immunity and Inflammation, Prevention and Population Care"
654,10.1016/j.maturitas.2013.06.005,Functional Neurosciences and Imaging
655,10.1002/ana.23951,Functional Neurosciences and Imaging
656,10.1007/s00439-013-1309-0,Genomic Medicine
657,10.1007/s10741-012-9341-z,Cardiovascular
658,10.1001/jamaneurol.2013.3499,Functional Neurosciences and Imaging
659,10.1523/jneurosci.1036-13.2013,Functional Neurosciences and Imaging
660,10.3171/2013.7.focus1346,Functional Neurosciences and Imaging
661,10.2174/1381612822666160226132112,Blood
662,10.1111/trf.12429,Blood
663,10.1136/medethics-2012-101290,Ethics
664,10.1182/blood-2013-03-486647,Blood
665,10.1182/blood-2013-03-491589,Blood
666,10.3324/haematol.2013.094193,Blood
667,10.1182/blood-2012-09-458570,Blood
668,10.1002/eji.201343509,Immunity and Inflammation
669,10.1161/circulationaha.112.000249,Cardiovascular
670,10.1093/eurheartj/eht369,Cardiovascular
671,10.1038/501160a,Patient and Public Involvement
672,10.1007/s10974-013-9359-4,Cardiovascular
673,10.1161/CIRCULATIONAHA.113.002251,Cardiovascular
674,10.1161/circulationaha.113.002717,Diabetes
675,10.1161/CIRCULATIONAHA.113.005375,Cardiovascular
676,10.1038/onc.2012.486,"Cancer, Genomic Medicine"
677,10.1056/nejmoa1216064,Infection
678,10.1016/j.ijcard.2013.03.019,Cardiovascular
679,10.1200/jco.2013.48.8114,Blood
680,10.1200/jco.2012.45.5626,Blood
681,10.2337/db13-0128,Diabetes
682,10.1038/nature12495,Blood
683,10.1016/j.ultrasmedbio.2013.04.010,Surgical Innovation and Evaluation
684,10.1038/nrcardio.2013.130,Cardiovascular
685,10.1038/ejhg.2012.306,Genomic Medicine
686,10.1016/j.expneurol.2013.06.010,Functional Neurosciences and Imaging
687,10.12968/hmed.2013.74.10.564,Functional Neurosciences and Imaging
688,10.1161/strokeaha.113.001857,Dementia and Cerebrovascular Disease
689,10.1016/j.jvs.2013.12.010,Dementia and Cerebrovascular Disease
690,10.1136/heartjnl-2013-304207,Prevention and Population Care
691,10.1111/bjh.12582,Blood
692,10.1080/13803395.2013.825235,Dementia and Cerebrovascular Disease
693,10.18632/oncotarget.1148,Pathology and Bioresources
694,10.1016/j.jcmg.2013.03.008,Translational Physiology
695,10.1161/strokeaha.113.001584,Prevention and Population Care
696,10.1517/14712598.2013.824419,Vaccines
697,10.1016/j.vaccine.2013.08.009,Vaccines
698,10.1155/2013/843282,Cancer
699,10.1093/jac/dkt180,Infection
700,10.1097/inf.0b013e31829cfff2,Vaccines
701,10.1503/cmaj.130257,Vaccines
702,10.1016/j.jacc.2015.07.059,"Biomedical Informatics and Technology, Blood, Prevention and Population Care"
703,10.1525/jer.2013.8.4.1,Other BRC Funded Work
704,10.1016/j.immuni.2013.09.004,Immunity and Inflammation
705,10.1038/srep03030,Immunity and Inflammation
706,10.1007/s10578-013-0386-6,Cognitive Health
707,10.1016/j.jinf.2013.09.013,Vaccines
708,10.1371/journal.pone.0078287,Immunity and Inflammation
709,10.1038/ng.2756,Immunity and Inflammation
710,10.3389/fnhum.2013.00623,Cardiovascular
711,10.1161/strokeaha.113.002414,Prevention and Population Care
712,10.1523/jneurosci.1790-13.2013,Functional Neurosciences and Imaging
713,10.1093/brain/awt239,Functional Neurosciences and Imaging
714,10.1016/j.meegid.2013.01.021,Immunity and Inflammation
715,10.1073/pnas.1311055110,Blood
716,10.1358/dot.2013.49.10.2025391,Blood
717,10.3324/haematol.2013.092254,Blood
718,10.1016/j.ijcard.2013.03.064,Cardiovascular
719,10.1016/j.mjafi.2014.03.004,Prevention and Population Care
720,10.1016/j.cell.2013.09.017,Genomic Medicine
721,10.1074/jbc.m113.493023,Cardiovascular
722,10.1016/s1474-4422(13)70211-4,Dementia and Cerebrovascular Disease
723,10.1186/1532-429x-15-92,Translational Physiology
724,10.1037/a0033247,Cognitive Health
725,10.1016/j.neuroimage.2013.05.082,Functional Neurosciences and Imaging
726,10.1523/jneurosci.2625-13.2013,Cognitive Health
727,10.1089/ars.2013.5542,Cardiovascular
728,10.1016/j.freeradbiomed.2013.10.008,Cardiovascular
729,10.1093/eurheartj/eht310.p5696,Cardiovascular
730,10.1136/bmjopen-2013-003943,Prevention and Population Care
731,10.1212/wnl.0b013e3182a9f45f,Prevention and Population Care
732,10.1159/000355144,Cardiovascular
733,10.1182/blood-2013-08-518886,Blood
734,10.1016/j.exphem.2013.05.297,Blood
735,10.1159/000354797,Translational Physiology
736,10.1159/000355496,Dementia and Cerebrovascular Disease
737,10.1212/01.wnl.0000436079.95856.1f,Functional Neurosciences and Imaging
738,10.1016/j.ajhg.2013.10.004,Diabetes
739,10.1038/jcbfm.2013.129,Cardiovascular
740,10.1136/heartjnl-2013-304245,Cardiovascular
741,10.1111/j.1460-9592.2011.03591.x,Cardiovascular
742,10.1161/STROKEAHA.113.002775,Dementia and Cerebrovascular Disease
743,10.1136/bmj.f6867,Prevention and Population Care
744,10.1002/eji.201343646,Vaccines
745,10.2217/pgs.13.183,Genomic Medicine
746,10.1093/infdis/jit647,Vaccines
747,10.1016/s1473-3099(13)70200-7,Infection
748,10.1093/rheumatology/ket219,Immunity and Inflammation
749,10.1586/14787210.2013.845987,Infection
750,10.1186/1742-4690-10-134,Immunity and Inflammation
751,10.1259/bjr.20130326,Cardiovascular
752,10.1038/ajg.2013.292,Genomic Medicine
753,10.1093/ehjci/jet095,Cardiovascular
754,10.1093/brain/awt249,Genomic Medicine
755,10.1136/jnnp-2013-306104,Functional Neurosciences and Imaging
756,10.1038/ncomms3836,Vaccines
757,10.1016/j.stem.2013.08.012,Blood
758,10.1038/bmt.2013.178,Blood
759,10.1016/j.eururo.2013.04.040,Pathology and Bioresources
760,10.1161/circulationaha.113.006218,Prevention and Population Care
761,10.3109/02688697.2013.857006,Functional Neurosciences and Imaging
762,10.1371/journal.pone.0078445,Infection
763,10.1007/s00439-013-1390-4,Genomic Medicine
764,10.1161/strokeaha.116.015468,Prevention and Population Care
765,10.1186/1743-422x-10-335,Infection
766,10.1038/onc.2012.584,Genomic Medicine
767,10.1111/ijs.12201,Prevention and Population Care
768,10.1056/NEJMoa1307557,Genomic Medicine
769,10.1016/s0140-6736(13)61134-4,Immunity and Inflammation
770,10.1016/j.neuroimage.2013.11.037,Functional Neurosciences and Imaging
771,10.1378/chest.13-1096,Translational Physiology
772,10.1182/blood-2013-07-515148,Blood
773,10.1016/j.bcmd.2013.07.008,Blood
774,10.1080/15265161.2013.813602,Vaccines
775,10.1016/j.sleep.2013.09.001,Translational Physiology
776,10.1016/j.neubiorev.2013.10.010,Cognitive Health
777,10.3389/fnhum.2013.00857,Functional Neurosciences and Imaging
778,10.1136/heartjnl-2013-304387,Cardiovascular
779,10.1016/j.media.2013.06.005,Cardiovascular
780,10.1093/bja/aet288,Translational Physiology
781,10.1016/j.puhe.2013.09.007,Vaccines
782,10.1111/ajt.12469,Diabetes
783,10.1007/s12975-013-0269-y,Cardiovascular
784,10.1093/cid/cis700,Vaccines
785,10.1128/jcm.01095-13,Infection
786,10.1097/qad.0000000000000130,Immunity and Inflammation
787,10.1136/bmjopen-2013-004265,Prevention and Population Care
788,10.1084/jem.20130351,Immunity and Inflammation
789,10.1136/heartjnl-2013-303754,Cardiovascular
790,10.1158/1078-0432.ccr-13-0550,Genomic Medicine
791,10.1007/s40266-013-0128-2,Diabetes
792,10.1200/jco.2013.50.0322,Genomic Medicine
793,10.1097/wco.0000000000000034,Functional Neurosciences and Imaging
794,10.1371/journal.pone.0082762,Functional Neurosciences and Imaging
795,10.1161/strokeaha.113.002756,Dementia and Cerebrovascular Disease
796,10.1111/trf.12171,Blood
797,10.1016/j.expneurol.2013.06.009,Functional Neurosciences and Imaging
798,10.1111/bjh.12553,Blood
799,10.1111/ceo.12109,Diabetes
800,10.1016/s2213-2600(13)70245-5,Biomedical Informatics and Technology
801,10.1016/j.cmet.2013.10.014,Diabetes
802,10.1093/jnci/djt347,Cancer
803,10.1523/jneurosci.3048-13.2013,Dementia and Cerebrovascular Disease
804,10.4244/eijv10i4a84,Cardiovascular
805,10.1136/bmjopen-2013-003612,Prevention and Population Care
806,10.1136/archdischild-2013-305716,Vaccines
807,10.1002/hep.26977,Vaccines
808,10.1074/jbc.m112.412031,Cardiovascular
809,10.1016/j.ajhg.2013.12.010,Diabetes
810,10.1210/jc.2013-3641,Diabetes
811,10.2337/db13-1301,Diabetes
812,10.1016/j.ajhg.2014.01.010,Diabetes
813,10.7554/elife.01465,Functional Neurosciences and Imaging
814,10.1210/jc.2013-2667,Diabetes
815,10.1111/ejn.12574,Functional Neurosciences and Imaging
816,10.3791/51403,Functional Neurosciences and Imaging
817,10.1161/hypertensionaha.113.02970,Functional Neurosciences and Imaging
818,10.1016/j.neuroimage.2013.05.084,Functional Neurosciences and Imaging
819,10.1371/journal.pone.0086496,Functional Neurosciences and Imaging
820,10.1097/mog.0000000000000021,Vaccines
821,10.1016/j.jaci.2013.07.044,Vaccines
822,10.1136/bmjopen-2013-003312,Vaccines
823,10.1186/s12968-014-0092-y,Cardiovascular
824,10.1371/journal.pone.0091413,Vaccines
825,10.1186/s12968-014-0100-2,Cardiovascular
826,10.1371/journal.pone.0089335,Diabetes
827,10.1038/ijo.2013.56,Diabetes
828,10.1371/journal.pgen.1004147,Diabetes
829,10.1016/j.cmet.2013.11.015,Diabetes
830,10.3310/hta18060-c201810,Prevention and Population Care
831,10.1038/jhh.2013.54,Prevention and Population Care
832,10.1186/1471-2458-14-28,Biomedical Informatics and Technology
833,10.1136/bmjopen-2013-004107,Prevention and Population Care
834,10.1136/bmjopen-2013-004437,Biomedical Informatics and Technology
835,10.1158/0008-5472.can-13-1783,Blood
836,10.1038/bmt.2014.82,Blood
837,10.1182/blood-2013-05-506253,Blood
838,10.1038/srep03643,Blood
839,10.4137/bmi.s16553,Blood
840,10.1088/0967-3334/35/5/807,Biomedical Informatics and Technology
841,10.1177/0004563213518758,Molecular Diagnostics
842,10.1016/j.jhep.2013.09.002,Cardiovascular
843,10.1016/j.sigpro.2013.12.026,Biomedical Informatics and Technology
844,10.3109/07420528.2013.843542,Translational Physiology
845,10.1002/mds.25959,Functional Neurosciences and Imaging
846,10.1523/jneurosci.4739-13.2014,Functional Neurosciences and Imaging
847,10.1093/brain/awu250,Functional Neurosciences and Imaging
848,10.1161/strokeaha.113.002707,Dementia and Cerebrovascular Disease
849,10.1093/gbe/evt204,Infection
850,10.1016/B978-0-444-63274-6.00018-7,Functional Neurosciences and Imaging
851,10.1080/15265161.2014.900144,Patient and Public Involvement
852,10.1080/15265161.2014.935879,Ethics
853,10.1002/mds.25626,Immunity and Inflammation
854,10.1186/1532-429x-16-36,Cardiovascular
855,10.1186/1532-429x-16-5,Cardiovascular
856,10.1186/1532-429x-16-29,Cardiovascular
857,10.1002/ccd.25126,Cardiovascular
858,10.1186/1532-429x-16-31,Cardiovascular
859,10.1186/1532-429x-16-9,Cardiovascular
860,10.1016/j.jim.2013.11.023,Immunity and Inflammation
862,10.1371/journal.pone.0098739,Vaccines
863,10.1093/cid/cit692,Vaccines
864,10.1007/s10608-014-9598-8,Cognitive Health
865,10.1080/02699931.2013.868342,Cognitive Health
866,10.1093/humupd/dmt044,Genomic Medicine
867,10.1161/circresaha.114.301904,Cardiovascular
869,10.1200/jco.2013.50.7657,Cancer
870,10.1016/s1353-8020(13)70013-0,Functional Neurosciences and Imaging
871,10.1371/journal.pone.0085538,Genomic Medicine
872,10.1097/wnr.0000000000000039,Functional Neurosciences and Imaging
873,10.1371/journal.pone.0085055,Vaccines
874,10.1038/nature12825,Dementia and Cerebrovascular disease
875,10.3402/qhw.v9.22252,Prevention and Population Care
876,10.1016/j.jinf.2014.01.006,Vaccines
877,10.1016/s2213-8587(13)70152-9,Prevention and Population Care
878,10.1007/s00221-013-3761-4,Functional Neurosciences and Imaging
879,10.1161/circep.113.001110,Cardiovascular
880,10.1128/cvi.00561-13,Vaccines
881,10.1038/ng.2870,Diabetes
882,10.1084/jem.20131189,Blood
883,10.1016/s1474-4422(14)70031-6,Dementia and Cerebrovascular Disease
884,10.1161/strokeaha.113.002938,Dementia and Cerebrovascular Disease
885,10.1016/j.resp.2013.12.014,Functional Neurosciences and Imaging
886,10.1161/strokeaha.113.003321,Dementia and Cerebrovascular Disease
887,10.1016/j.urology.2013.11.005,"Cancer, Surgical Innovation and Evaluation"
888,10.1016/j.jhin.2013.11.007,Infection
889,10.1158/0008-5472.CAN-13-2319,Cancer
890,10.1007/s11357-013-9535-x,Cardiovascular
891,10.1111/dmcn.12321,Immunity and Inflammation
892,10.1016/j.ab.2013.11.003,Immunity and Inflammation
893,10.1038/mt.2013.248,Vaccines
894,10.1038/ng.2897,Diabetes
895,10.1016/j.ajhg.2013.12.012,Genomic Medicine
896,10.1038/mp.2014.2,Functional Neurosciences and Imaging
897,10.1186/1741-7015-12-26,Surgical Innovation and Evaluation
898,10.1093/hmg/ddu030,Genomic Medicine
899,10.1182/blood-2013-04-490847,Genomic Medicine
900,10.1007/s12160-014-9595-x,Biomedical Informatics and Technology
901,10.1117/12.2038377,Surgical Innovation and Evaluation
902,10.1371/journal.pgen.1004123,Genomic Medicine
903,10.1016/j.gde.2013.12.005,Genomic Medicine
904,10.1186/1743-0003-11-36,Other BRC Funded Work
905,10.1017/s1041610213002251,Dementia and Cerebrovascular Disease
906,10.1002/mds.25748,Functional Neurosciences and Imaging
907,10.1017/s104161021300207x,Patient and Public Involvement
908,10.1016/j.brs.2015.01.309,Functional Neurosciences and Imaging
909,10.1038/mt.2013.284,Vaccines
910,10.1016/s1473-3099(13)70238-x,Vaccines
911,10.1111/ced.12256,Immunity and Inflammation
912,10.1586/14760584.2014.878654,Vaccines
913,10.1373/clinchem.2013.211219,Cancer
914,10.1093/jnci/dju007,Surgical Innovation and Evaluation
915,10.1093/cid/cit807,Infection
916,10.1126/science.1246949,Immunity and Inflammation
917,10.1186/1532-429x-16-21,Cardiovascular
918,10.1017/s0033291713001062,Immunity and Inflammation
919,10.1200/jco.2013.51.1857,Genomic Medicine
920,10.1089/aid.2014.0041,Vaccines
921,10.1089/ars.2013.5430,Cardiovascular
922,10.1093/cid/ciu078,Vaccines
923,10.1186/1471-2180-14-63,Infection
924,10.1016/s1473-3099(14)70027-1,Vaccines
925,10.4161/hv.28350,Vaccines
926,10.1016/j.ajhg.2014.02.012,Dementia and Cerebrovascular Disease
927,10.1371/journal.pone.0092458,Biomedical Informatics and Technology
928,10.1136/heartjnl-2013-305021,Translational Physiology
929,10.1136/bmj.g2296,Immunity and Inflammation
930,10.1186/gm543,Genomic Medicine
931,10.1378/chest.13-1558,Translational Physiology
932,10.1038/ng.2921,Cancer
933,10.18632/oncotarget.1904,Cancer
934,10.1007/s10875-014-9995-5,"Immunity and Inflammation, Molecular Diagnostics"
935,10.1111/jvh.12141,Immunity and Inflammation
936,10.1111/dmcn.12294,Immunity and Inflammation
937,10.1016/j.jaci.2013.10.056,Immunity and Inflammation
938,10.1111/imm.12226,Vaccines
939,10.1093/cid/ciu001,Vaccines
940,10.1371/journal.pone.0091735,Patient and Public Involvement
941,10.1016/s2213-2600(14)70027-x,Infection
942,10.1128/jcm.03254-13,Infection
943,10.1128/jcm.03117-13,Infection
944,10.1136/jnnp-2013-306724,Dementia and Cerebrovascular Disease
945,10.1016/j.clinph.2013.10.001,Functional Neurosciences and Imaging
946,10.1136/jnnp-2013-306577,Functional Neurosciences and Imaging
947,10.1016/s1470-2045(13)70607-7,Genomic Medicine
948,10.1038/ejhg.2013.244,Immunity and Inflammation
949,10.1162/jocn_a_00526,Cognitive Health
950,10.1038/ng.2915,Diabetes
951,10.1007/s11886-014-0464-9,Cardiovascular
952,10.1523/jneurosci.4281-13.2014,Dementia and Cerebrovascular Disease
953,10.1371/journal.pgen.1004235,Genomic Medicine
954,10.1016/j.ajhg.2014.03.007,Cardiovascular
955,10.1210/jc.2013-3909,Genomic Medicine
956,10.1002/aur.1365,Genomic Medicine
957,10.1136/annrheumdis-2013-204835,Immunity and Inflammation
958,10.1093/bioinformatics/btu196,Genomic Medicine
959,10.1016/j.neuroimage.2013.11.046,Dementia and Cerebrovascular Disease
960,10.1158/0008-5472.can-13-2131,Cognitive Health
961,10.1371/journal.pgen.1004285,Genomic Medicine
962,10.1038/ncomms4756,Surgical Innovation and Evaluation
963,10.1093/hmg/ddu177,Genomic Medicine
964,10.1186/1471-2377-14-93,Immunity and Inflammation
965,10.1016/j.jneumeth.2014.02.005,Genomic Medicine
967,10.1128/jvi.03303-13,Immunity and Inflammation
968,10.1093/bioinformatics/btt774,Diabetes
969,10.2337/dc13-2539,Translational Physiology
970,10.1182/blood-2013-10-533000,Blood
971,10.1097/rti.0000000000000077,Translational Physiology
972,10.1038/bmt.2014.7,Blood
973,10.1093/infdis/jit598,Infection
974,10.1007/s11882-014-0434-8,Immunity and Inflammation
975,10.1097/qad.0000000000000220,Blood
976,10.1126/scitranslmed.3008249,Blood
977,10.1136/medethics-2014-102161,Ethics
978,10.1161/strokeaha.113.004229,Dementia and Cerebrovascular Disease
979,10.1016/j.atherosclerosis.2014.03.002,Dementia and Cerebrovascular Disease
980,10.1093/brain/awu040,Dementia and Cerebrovascular Disease
981,10.3978/j.issn.2225-319X.2014.05.14,Prevention and Population Care
983,10.1136/openhrt-2014-000043,Prevention and Population Care
984,10.1016/j.jinf.2013.12.013,Infection
985,10.1109/jbhi.2013.2293059,Biomedical Informatics and Technology
986,10.1183/09031936.00180213,Translational Physiology
987,10.1016/s1473-3099(13)70341-4,Vaccines
988,10.1016/j.cortex.2014.02.009,Cognitive Health
989,10.1016/j.diabres.2014.05.003,Diabetes
990,10.1111/dote.12234,Cancer
991,10.1371/journal.ppat.1004036,Immunity and Inflammation
992,10.1111/dme.12373,Transplantation
993,10.1038/ejhg.2014.74,Genomic Medicine
994,10.1186/1745-6215-15-160,Prevention and Population Care
995,10.1093/jnci/dju086,Genomic Medicine
996,10.1093/hmg/ddt659,Genomic Medicine
997,10.1016/j.neuroimage.2014.01.049,Cognitive Health
998,10.1093/infdis/jit673,Vaccines
999,10.1111/bjh.12910,Genomic Medicine
1000,10.1371/journal.pmed.1001647,Genomic Medicine
1001,10.1523/jneurosci.1169-14.2014,Functional Neurosciences and Imaging
1002,10.1136/bmjopen-2013-004746,Prevention and Population Care
1003,10.1038/ncomms4956,Infection
1004,10.1186/bcr3662,Genomic Medicine
1005,10.1016/s1388-2457(14)50406-3,Functional Neurosciences and Imaging
1007,10.1093/hmg/ddu269,Diabetes
1008,10.1186/1471-244x-14-159,Cognitive Health
1009,10.1186/1748-717x-9-146,Cancer
1010,10.1007/s40291-014-0087-2,"Genomic Medicine, Molecular Diagnostics"
1011,10.3233/jad-132414,Dementia and Cerebrovascular Disease
1012,10.1016/j.jviromet.2014.02.020,Immunity and Inflammation
1013,10.1016/s2213-8587(14)70050-6,Genomic Medicine
1014,10.2337/db13-1383,Diabetes
1015,10.1016/j.bbmt.2014.02.020,Blood
1016,10.1227/neu.0000000000000321,Functional Neurosciences and Imaging
1017,10.1038/nrc3729,Genomic Medicine
1018,10.3109/03630269.2014.885908,Genomic Medicine
1019,10.2337/dc13-1386,Biomedical Informatics and Technology
1020,10.1002/uog.13397,Cardiovascular
1021,10.1016/j.ccr.2014.03.036,Blood
1022,10.1080/02699931.2014.926861,Cognitive Health
1023,10.1136/archdischild-2013-304601,Vaccines
1024,10.3201/eid2006.130562,Immunity and Inflammation
1025,10.1111/psyp.12197,Cognitive Health
1026,10.1111/dom.12272,Diabetes
1027,10.2337/db13-0949,Diabetes
1028,10.4172/2329-6917.1000138,Molecular Diagnostics
1029,10.1523/jneurosci.4741-13.2014,Cognitive Health
1030,10.1186/1748-5908-9-70,Biomedical Informatics and Technology
1031,10.1016/j.vaccine.2014.04.009,Vaccines
1032,10.1016/s0140-6736(14)60684-x,Functional Neurosciences and Imaging
1034,10.1161/atvbaha.114.303462,Cardiovascular
1035,10.1371/journal.pone.0098608,"Diabetes, Genomic Medicine"
1036,10.1093/hmg/ddu300,Genomic Medicine
1037,10.1111/echo.12655,Cardiovascular
1038,10.1158/0008-5472.can-14-0013,Genomic Medicine
1039,10.1038/mt.2014.109,Vaccines
1040,10.1093/hmg/ddu311,Genomic Medicine
1041,10.4161/hv.29318,Vaccines
1042,10.1017/s2040174414000324,Cognitive Health
1043,10.7554/elife.02020,Genomic Medicine
1044,10.1161/circulationaha.113.005062,Cardiovascular
1045,10.1073/pnas.1321072111,Cognitive Health
1046,10.1111/nan.12165,Dementia and Cerebrovascular Disease
1047,10.1002/humu.22612,Genomic Medicine
1048,10.1038/bjc.2014.236,Cancer
1049,10.1586/14787210.2014.910112,Immunity and Inflammation
1050,10.1016/j.clim.2014.04.011,Immunity and Inflammation
